Customer,Route,VehicleClass,SourceVehicleLabel,LineType,BillingType,PricingBasis,Rate,Currency,ValidFrom,ValidTo,SourceReference,Status
"JDL","DMM AIRPORT → DAMMAN SORTING CENTER","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",445,"SAR","","","Primary Row 12","ACTIVE_CANDIDATE"
"JDL","DMM AIRPORT → DAMMAN SORTING CENTER","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",1150,"SAR","","","Primary Row 13","ACTIVE_CANDIDATE"
"JDL","DMM AIRPORT → DAMMAN SORTING CENTER (ROUND)","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",585,"SAR","","","Primary Row 14","ACTIVE_CANDIDATE"
"JDL","DMM AIRPORT → DAMMAN SORTING CENTER (ROUND)","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",1550,"SAR","","","Primary Row 15","ACTIVE_CANDIDATE"
"JDL","JED AIRPORT → JEDDAH SORTING CENTER","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",419,"SAR","","","Primary Row 16","ACTIVE_CANDIDATE"
"JDL","JED AIRPORT → JEDDAH SORTING CENTER","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",950,"SAR","","","Primary Row 17","ACTIVE_CANDIDATE"
"JDL","JED AIRPORT → JEDDAH SORTING CENTER (ROUND)","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",495,"SAR","","","Primary Row 18","ACTIVE_CANDIDATE"
"JDL","JED AIRPORT → JEDDAH SORTING CENTER (ROUND)","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",1450,"SAR","","","Primary Row 19","ACTIVE_CANDIDATE"
"JDL","RIYADH → KHAMIS","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1800,"SAR","","","Primary Row 20","ACTIVE_CANDIDATE"
"JDL","RIYADH → KHAMIS","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",3250,"SAR","","","Primary Row 21","ACTIVE_CANDIDATE"
"JDL","RIYADH → JEDDAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1600,"SAR","","","Primary Row 22","ACTIVE_CANDIDATE"
"JDL","RIYADH → JEDDAH","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",2500,"SAR","","","Primary Row 23","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1220,"SAR","","","Primary Row 24","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",1650,"SAR","","","Primary Row 25","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",800,"SAR","","","Primary Row 26","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1150,"SAR","","","Primary Row 27","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",1500,"SAR","","","Primary Row 28","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN (ROUND)","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1125,"SAR","","","Primary Row 29","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN (ROUND)","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1350,"SAR","","","Primary Row 30","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN (ROUND)","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",2250,"SAR","","","Primary Row 31","ACTIVE_CANDIDATE"
"JDL","RIYADH → HAIL","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1200,"SAR","","","Primary Row 32","ACTIVE_CANDIDATE"
"JDL","RIYADH → HAIL","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1400,"SAR","","","Primary Row 33","ACTIVE_CANDIDATE"
"JDL","RIYADH → HAIL","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",2900,"SAR","","","Primary Row 34","ACTIVE_CANDIDATE"
"JDL","RIYADH → HAIL","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",1040,"SAR","","","Primary Row 35","ACTIVE_CANDIDATE"
"JDL","RIYADH → HAIL","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1200,"SAR","","","Primary Row 36","ACTIVE_CANDIDATE"
"JDL","RIYADH → HAIL","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1450,"SAR","","","Primary Row 37","ACTIVE_CANDIDATE"
"JDL","RIYADH → HAIL","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",2800,"SAR","","","Primary Row 38","ACTIVE_CANDIDATE"
"JDL","JEDDAH → RIYADH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1215,"SAR","","","Primary Row 39","ACTIVE_CANDIDATE"
"JDL","JEDDAH → RIYADH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1600,"SAR","","","Primary Row 40","ACTIVE_CANDIDATE"
"JDL","JEDDAH → RIYADH","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",2400,"SAR","","","Primary Row 41","ACTIVE_CANDIDATE"
"JDL","JEDDAH → RIYADH (ROUND)","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",1790,"SAR","","","Primary Row 42","ACTIVE_CANDIDATE"
"JDL","JEDDAH → RIYADH (ROUND)","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1800,"SAR","","","Primary Row 43","ACTIVE_CANDIDATE"
"JDL","JEDDAH → RIYADH (ROUND)","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",2100,"SAR","","","Primary Row 44","ACTIVE_CANDIDATE"
"JDL","JEDDAH → RIYADH (ROUND)","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",3250,"SAR","","","Primary Row 45","ACTIVE_CANDIDATE"
"JDL","DAMMAN → RIYADH","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",870,"SAR","","","Primary Row 46","ACTIVE_CANDIDATE"
"JDL","DAMMAN → RIYADH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",880,"SAR","","","Primary Row 47","ACTIVE_CANDIDATE"
"JDL","DAMMAN → RIYADH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",990,"SAR","","","Primary Row 48","ACTIVE_CANDIDATE"
"JDL","DAMMAN → RIYADH","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",1650,"SAR","","","Primary Row 49","ACTIVE_CANDIDATE"
"JDL","DAMMAN → RIYADH (ROUND)","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1250,"SAR","","","Primary Row 50","ACTIVE_CANDIDATE"
"JDL","DAMMAN → RIYADH (ROUND)","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1620,"SAR","","","Primary Row 51","ACTIVE_CANDIDATE"
"JDL","DAMMAN → RIYADH (ROUND)","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",2400,"SAR","","","Primary Row 52","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MADINA","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",1330,"SAR","","","Primary Row 53","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MADINA","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1340,"SAR","","","Primary Row 54","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MADINA","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1665,"SAR","","","Primary Row 55","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → YANBU","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",1385,"SAR","","","Primary Row 56","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → YANBU","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1395,"SAR","","","Primary Row 57","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → YANBU","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",2000,"SAR","","","Primary Row 58","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → YANBU","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1500,"SAR","","","Primary Row 59","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → YANBU","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",2100,"SAR","","","Primary Row 60","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MAKKAH","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",530,"SAR","","","Primary Row 61","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MAKKAH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",540,"SAR","","","Primary Row 62","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MAKKAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",670,"SAR","","","Primary Row 63","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → TAIF","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",640,"SAR","","","Primary Row 64","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → TAIF","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",648,"SAR","","","Primary Row 65","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → TAIF","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",800,"SAR","","","Primary Row 66","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → TAIF","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",740,"SAR","","","Primary Row 67","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → TAIF","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",590,"SAR","","","Primary Row 68","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → TAIF","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1190,"SAR","","","Primary Row 69","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → YANBU","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",780,"SAR","","","Primary Row 70","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → YANBU","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",790,"SAR","","","Primary Row 71","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → YANBU","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1050,"SAR","","","Primary Row 72","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MADINA","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",885,"SAR","","","Primary Row 73","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MADINA","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",850,"SAR","","","Primary Row 74","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MADINA","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1125,"SAR","","","Primary Row 75","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MADINA","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",985,"SAR","","","Primary Row 76","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MADINA","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",895,"SAR","","","Primary Row 77","ACTIVE_CANDIDATE"
"JDL","JEDDAH SORTING CENTER → MADINA","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1200,"SAR","","","Primary Row 78","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → JUBAIL STATION","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",485,"SAR","","","Primary Row 79","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → JUBAIL STATION","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",495,"SAR","","","Primary Row 80","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → JUBAIL STATION","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",695,"SAR","","","Primary Row 81","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",985,"SAR","","","Primary Row 82","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",800,"SAR","","","Primary Row 83","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1225,"SAR","","","Primary Row 84","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",1085,"SAR","","","Primary Row 85","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1095,"SAR","","","Primary Row 86","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1375,"SAR","","","Primary Row 87","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HOFUF","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",485,"SAR","","","Primary Row 88","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HOFUF","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",495,"SAR","","","Primary Row 89","ACTIVE_CANDIDATE"
"JDL","DAMMAN SORTING CENTER → HOFUF","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",700,"SAR","","","Primary Row 90","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → TABUK","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",1260,"SAR","","","Primary Row 91","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → TABUK","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1150,"SAR","","","Primary Row 92","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → TABUK","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1450,"SAR","","","Primary Row 93","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → QURAYYAT","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",1240,"SAR","","","Primary Row 94","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → QURAYYAT","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1200,"SAR","","","Primary Row 95","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → QURAYYAT","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1800,"SAR","","","Primary Row 96","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → BURAYDAH","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",690,"SAR","","","Primary Row 97","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → BURAYDAH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",650,"SAR","","","Primary Row 98","ACTIVE_CANDIDATE"
"JDL","HAIL SORTING CENTER → BURAYDAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",895,"SAR","","","Primary Row 99","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → JAZAN STATION","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",835,"SAR","","","Primary Row 100","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → JAZAN STATION","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",845,"SAR","","","Primary Row 101","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → JAZAN STATION","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1200,"SAR","","","Primary Row 102","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → JAZAN STATION","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",2200,"SAR","","","Primary Row 103","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → QUNFUDHAH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",790,"SAR","","","Primary Row 104","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → QUNFUDHAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1100,"SAR","","","Primary Row 105","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → AL EDABI","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",900,"SAR","","","Primary Row 106","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → AL EDABI","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1200,"SAR","","","Primary Row 107","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → BISHA","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",600,"SAR","","","Primary Row 108","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → BISHA","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",990,"SAR","","","Primary Row 109","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → NAJRAN STATION","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",795,"SAR","","","Primary Row 110","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → NAJRAN STATION","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1080,"SAR","","","Primary Row 111","ACTIVE_CANDIDATE"
"JDL","KHAMIS SORTING CENTER → NAJRAN STATION","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",1950,"SAR","","","Primary Row 112","ACTIVE_CANDIDATE"
"JDL","NAJRAN STATION → SHARORAH","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",885,"SAR","","","Primary Row 113","ACTIVE_CANDIDATE"
"JDL","NAJRAN STATION → SHARORAH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",850,"SAR","","","Primary Row 114","ACTIVE_CANDIDATE"
"JDL","NAJRAN STATION → SHARORAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1100,"SAR","","","Primary Row 115","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → HOFUF","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",770,"SAR","","","Primary Row 116","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → HOFUF","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",780,"SAR","","","Primary Row 117","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → HOFUF","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1050,"SAR","","","Primary Row 118","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → QUNFUDHAH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1400,"SAR","","","Primary Row 119","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → QUNFUDHAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1900,"SAR","","","Primary Row 120","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MUHAYIL","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1800,"SAR","","","Primary Row 121","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MUHAYIL","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",2200,"SAR","","","Primary Row 122","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → QUNFUDHAH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1850,"SAR","","","Primary Row 123","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → QUNFUDHAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",2950,"SAR","","","Primary Row 124","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MADINA","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1600,"SAR","","","Primary Row 125","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MADINA","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1800,"SAR","","","Primary Row 126","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → BURAYDAH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",710,"SAR","","","Primary Row 127","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → BURAYDAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1000,"SAR","","","Primary Row 128","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → HAFER AL BATIN","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",995,"SAR","","","Primary Row 129","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → HAFER AL BATIN","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1150,"SAR","","","Primary Row 130","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MAKKAH","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1400,"SAR","","","Primary Row 131","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → MAKKAH","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1700,"SAR","","","Primary Row 132","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → NAJRAN STATION","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1530,"SAR","","","Primary Row 133","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → NAJRAN STATION","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1800,"SAR","","","Primary Row 134","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → BISHA","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",1100,"SAR","","","Primary Row 135","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → BISHA","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",1500,"SAR","","","Primary Row 136","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → RIYADH STATION(SULAY/TUWAIQ/AZIZYAH/ALKHARJ)","3-4 TON","3TON/4TON","ROUND_TRIP","MONTHLY","",9500,"SAR","","","Primary Row 137","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → RIYADH STATION(SULAY/TUWAIQ/AZIZYAH/ALKHARJ)","5 TON","5M-5TON","ROUND_TRIP","MONTHLY","",9995,"SAR","","","Primary Row 138","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → RIYADH STATION(SULAY/TUWAIQ/AZIZYAH/ALKHARJ)","10 TON","6.5M-10TON","ROUND_TRIP","MONTHLY","",11610,"SAR","","","Primary Row 139","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → DUWADIMI","3-4 TON","3TON/4TON","ROUND_TRIP","MONTHLY","",15500,"SAR","","","Primary Row 140","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → DUWADIMI","5 TON","5M-5TON","ROUND_TRIP","MONTHLY","",15995,"SAR","","","Primary Row 141","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → DUWADIMI","10 TON","6.5M-10TON","ROUND_TRIP","MONTHLY","",17990,"SAR","","","Primary Row 142","ACTIVE_CANDIDATE"
"JDL","RUH AIRPORT → RIYADH SORTING CENTER","10 TON","6.5M-10TON","ROUND_TRIP","MONTHLY","",11610,"SAR","","","Primary Row 143","ACTIVE_CANDIDATE"
"JDL","RUH AIRPORT → RIYADH SORTING CENTER","20 TON","13.5M-20TON","ROUND_TRIP","MONTHLY","",36000,"SAR","","","Primary Row 144","ACTIVE_CANDIDATE"
"JDL","DMM AIRPORT → DAMMAN SORTING CENTER","10 TON","6.5M-10TON","ROUND_TRIP","MONTHLY","",12990,"SAR","","","Primary Row 145","ACTIVE_CANDIDATE"
"JDL","DMM AIRPORT → DAMMAN SORTING CENTER","20 TON","13.5M-20TON","ROUND_TRIP","MONTHLY","",36000,"SAR","","","Primary Row 146","ACTIVE_CANDIDATE"
"JDL","JED AIRPORT → JEDDAH SORTING CENTER","10 TON","6.5M-10TON","ROUND_TRIP","MONTHLY","",13050,"SAR","","","Primary Row 147","ACTIVE_CANDIDATE"
"JDL","JED AIRPORT → JEDDAH SORTING CENTER","20 TON","13.5M-20TON","ROUND_TRIP","MONTHLY","",36000,"SAR","","","Primary Row 148","ACTIVE_CANDIDATE"
"JDL","RIYADH → KHAMIS","10 TON","6.5M-10TON","ROUND_TRIP","MONTHLY","",23400,"SAR","","","Primary Row 149","ACTIVE_CANDIDATE"
"JDL","RIYADH → KHAMIS","20 TON","13.5M-20TON","ROUND_TRIP","MONTHLY","",63000,"SAR","","","Primary Row 150","ACTIVE_CANDIDATE"
"JDL","RIYADH → JEDDAH","10 TON","6.5M-10TON","ROUND_TRIP","MONTHLY","",22500,"SAR","","","Primary Row 151","ACTIVE_CANDIDATE"
"JDL","RIYADH → JEDDAH","20 TON","13.5M-20TON","ROUND_TRIP","MONTHLY","",56250,"SAR","","","Primary Row 152","ACTIVE_CANDIDATE"
"JDL","RIYADH → DAMMAN","10 TON","6.5M-10TON","ROUND_TRIP","MONTHLY","",22995,"SAR","","","Primary Row 153","ACTIVE_CANDIDATE"
