CanonicalKey,Customer,Route,Vehicle,LineType,BillingType,ActiveRate,ActiveSource,HistoricalRate,HistoricalSource,Evidence,Action
"JDL|JEDDAH SORTING CENTER->YANBU->MADINA|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","JEDDAH SORTING CENTER → MADINA","6.5M-10TON","ROUND_TRIP","EXTRA",1200,"Primary Row 78",24500,"Sheet JDL Row 79","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|DAMMAN SORTING CENTER->JUBAIL STATION->HAFER AL BATIN|3-4 TON|3TON/4TON|ROUND_TRIP|EXTRA","JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","3TON/4TON","ROUND_TRIP","EXTRA",1085,"Primary Row 85",19000,"Sheet JDL Row 82","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|DAMMAN SORTING CENTER->JUBAIL STATION->HAFER AL BATIN|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","5M-5TON","ROUND_TRIP","EXTRA",1095,"Primary Row 86",18500,"Sheet JDL Row 82","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|DAMMAN SORTING CENTER->JUBAIL STATION->HAFER AL BATIN|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","DAMMAN SORTING CENTER → HAFER AL BATIN","6.5M-10TON","ROUND_TRIP","EXTRA",1375,"Primary Row 87",23000,"Sheet JDL Row 82","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|KHAMIS SORTING CENTER->MUHAYIL->QUNFUDHAH|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","KHAMIS SORTING CENTER → QUNFUDHAH","5M-5TON","ROUND_TRIP","EXTRA",790,"Primary Row 104",16830,"Sheet JDL Row 88","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|KHAMIS SORTING CENTER->MUHAYIL->QUNFUDHAH|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","KHAMIS SORTING CENTER → QUNFUDHAH","6.5M-10TON","ROUND_TRIP","EXTRA",1100,"Primary Row 105",20835,"Sheet JDL Row 88","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|KHAMIS SORTING CENTER->BAISH->AL EDABI|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","KHAMIS SORTING CENTER → AL EDABI","5M-5TON","ROUND_TRIP","EXTRA",900,"Primary Row 106",18000,"Sheet JDL Row 89","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|KHAMIS SORTING CENTER->BAISH->AL EDABI|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","KHAMIS SORTING CENTER → AL EDABI","6.5M-10TON","ROUND_TRIP","EXTRA",1200,"Primary Row 107",22000,"Sheet JDL Row 89","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH SORTING CENTER->MUHAYIL->QUNFUDHAH|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","RIYADH SORTING CENTER → QUNFUDHAH","5M-5TON","ROUND_TRIP","EXTRA",1850,"Primary Row 123",23000,"Sheet JDL Row 96","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH SORTING CENTER->MUHAYIL->QUNFUDHAH|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","RIYADH SORTING CENTER → QUNFUDHAH","6.5M-10TON","ROUND_TRIP","EXTRA",2950,"Primary Row 124",26955,"Sheet JDL Row 96","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH SORTING CENTER->BURAYDAH->MADINA|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","RIYADH SORTING CENTER → MADINA","5M-5TON","ROUND_TRIP","EXTRA",1600,"Primary Row 125",20745,"Sheet JDL Row 97","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH SORTING CENTER->BURAYDAH->MADINA|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","RIYADH SORTING CENTER → MADINA","6.5M-10TON","ROUND_TRIP","EXTRA",1800,"Primary Row 126",24435,"Sheet JDL Row 97","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH SORTING CENTER->TAIF->MAKKAH|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","RIYADH SORTING CENTER → MAKKAH","5M-5TON","ROUND_TRIP","EXTRA",1400,"Primary Row 131",21490,"Sheet JDL Row 100","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH SORTING CENTER->TAIF->MAKKAH|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","RIYADH SORTING CENTER → MAKKAH","6.5M-10TON","ROUND_TRIP","EXTRA",1700,"Primary Row 132",23900,"Sheet JDL Row 100","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
